CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,ContractType,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast12Months,SatisfactionScore,Churn
CUST-00046,Female,38,No,No,No,42,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,110.6,4816.95,0,5,No
CUST-00047,Male,45,No,No,No,37,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card (Automatic),28.73,958.74,0,4,No
CUST-00048,Female,18,No,Yes,No,19,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,76.51,1505.52,1,3,Yes
CUST-00049,Female,33,No,No,No,15,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Electronic Check,97.45,1435.77,2,4,No
CUST-00050,Female,61,No,No,No,34,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Electronic Check,84.85,2804.43,2,5,No
CUST-00051,Female,35,No,No,No,7,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Electronic Check,107.02,734.99,0,5,No
CUST-00052,Male,32,No,Yes,Yes,20,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Automatic),72.77,1419.78,1,5,No
CUST-00053,Male,66,Yes,Yes,Yes,30,No,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card (Automatic),81.04,2471.26,0,4,Yes
CUST-00054,Male,66,Yes,No,No,58,Yes,DSL,No,Yes,No,No,Yes,Yes,Two Year,Yes,Electronic Check,59.8,3533.78,0,4,No
CUST-00055,Male,53,No,No,No,72,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Credit Card (Automatic),81.35,5492.36,0,5,No
CUST-00056,Male,38,No,No,Yes,11,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,32.83,362.86,1,4,No
CUST-00057,Female,41,No,No,Yes,32,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,87.65,2780.4,0,5,No
CUST-00058,Male,32,No,No,No,25,No,DSL,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card (Automatic),67.58,1736.09,1,4,No
CUST-00059,Female,29,No,No,Yes,38,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,No,Bank Transfer (Automatic),69.8,2585.88,0,5,Yes
CUST-00060,Female,28,No,Yes,No,22,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,97.6,2087.28,0,5,Yes
CUST-00061,Female,35,No,Yes,No,40,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),91.03,3689.11,1,4,No
CUST-00062,Female,28,No,Yes,No,30,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,36.04,1047.82,0,5,No
CUST-00063,Male,20,No,No,No,16,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Electronic Check,75.82,1253.16,0,5,No
CUST-00064,Female,49,No,Yes,Yes,40,Yes,Fiber Optic,No,Yes,No,No,Yes,No,One Year,No,Bank Transfer (Automatic),91.61,3544.41,1,4,No
CUST-00065,Male,49,No,Yes,Yes,23,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),95.72,2171.01,1,4,No
CUST-00066,Male,72,Yes,No,No,27,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,101.64,2885.88,1,4,No
CUST-00067,Female,34,No,No,No,12,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),99.59,1157.87,0,3,Yes
CUST-00068,Male,50,No,Yes,No,21,No,Fiber Optic,No,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,74.18,1580.79,0,5,Yes
CUST-00069,Male,50,No,Yes,Yes,57,Yes,DSL,Yes,No,No,No,No,Yes,One Year,Yes,Electronic Check,73.0,4219.76,0,4,No
CUST-00070,Male,41,No,No,No,17,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,76.49,1318.8,1,4,No
CUST-00071,Female,57,No,Yes,No,72,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card (Automatic),65.98,4670.71,0,4,No
CUST-00072,Male,57,No,Yes,Yes,27,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,115.44,3312.41,0,5,Yes
CUST-00073,Male,50,No,Yes,Yes,31,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),97.58,3072.46,1,5,No
CUST-00074,Male,41,No,Yes,No,14,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),92.66,1266.76,1,4,Yes
CUST-00075,Female,39,No,No,No,42,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,99.32,4049.89,0,4,No
CUST-00076,Male,23,No,Yes,No,7,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Transfer (Automatic),94.84,641.91,2,3,Yes
CUST-00077,Male,32,No,No,Yes,21,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Mailed Check,65.4,1400.39,0,5,No
CUST-00078,Male,35,No,Yes,No,14,Yes,DSL,Yes,Yes,No,No,No,Yes,One Year,No,Bank Transfer (Automatic),72.68,1040.09,1,4,No
CUST-00079,Female,27,No,Yes,Yes,8,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Credit Card (Automatic),52.3,416.91,1,3,Yes
CUST-00080,Female,52,No,Yes,Yes,38,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,34.24,1277.62,1,5,No
CUST-00081,Female,64,No,No,No,22,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card (Automatic),36.22,735.29,0,5,No
CUST-00082,Male,30,No,Yes,No,27,Yes,DSL,No,No,Yes,No,No,No,One Year,Yes,Mailed Check,61.5,1588.02,1,5,No
CUST-00083,Male,50,No,Yes,Yes,15,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Automatic),98.52,1553.56,1,4,No
CUST-00084,Female,28,No,Yes,Yes,44,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),108.08,4659.94,0,5,No
CUST-00085,Female,40,No,No,No,30,Yes,DSL,No,No,Yes,No,Yes,No,One Year,Yes,Electronic Check,68.62,1985.5,2,3,No
CUST-00086,Female,34,No,Yes,Yes,64,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Transfer (Automatic),32.45,2081.88,0,4,No
CUST-00087,Male,55,No,No,Yes,16,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card (Automatic),31.29,508.03,2,3,No
CUST-00088,Male,34,No,No,Yes,16,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,102.93,1590.63,1,5,Yes
CUST-00089,Female,61,No,Yes,Yes,36,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,65.23,2381.51,0,5,No
CUST-00090,Female,41,No,No,No,68,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Month-to-Month,No,Electronic Check,91.11,6407.62,0,5,No
CUST-00091,Male,35,No,Yes,Yes,17,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,Yes,Bank Transfer (Automatic),88.22,1548.64,1,3,No
CUST-00092,Female,25,No,No,No,3,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,One Year,Yes,Electronic Check,100.15,298.26,2,3,No
CUST-00093,Female,49,No,No,No,9,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Two Year,Yes,Credit Card (Automatic),92.16,831.57,1,4,No
CUST-00094,Male,59,No,Yes,Yes,57,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One Year,No,Electronic Check,77.07,4210.01,0,4,No
CUST-00095,Female,49,No,No,No,20,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Transfer (Automatic),110.0,2150.94,0,5,No
CUST-00096,Male,81,Yes,Yes,No,72,Yes,DSL,Yes,No,Yes,Yes,No,No,One Year,No,Credit Card (Automatic),75.9,5848.87,1,4,No
CUST-00097,Male,68,Yes,Yes,No,10,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes, Mailed Check ,74.41,714.86,0,4,No
CUST-00098,Female,40,No,No,No,36,Yes,DSL,No,Yes,Yes,No,No,No,Two Year,Yes,Bank Transfer (Automatic),76.79,2544.97,3,3,No
CUST-00099,Female,40,No,No,No,37,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card (Automatic),30.26,1160.36,0,4,No
CUST-00100,Male,53,No,Yes,No,7,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Electronic Check,89.25,607.88,0,4,No
CUST-00101,Female,32,No,No,No,7,No,DSL,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer (Automatic),46.8,328.13,0,4,No
CUST-00102,Male,64,No,No,No,21,Yes,DSL,Yes,No,No,Yes,No,No,One Year,No,Credit Card (Automatic),66.18,1302.62,0,4,No
CUST-00103,Female,51,No,Yes,Yes,38,Yes,Fiber Optic,Yes,No,Yes,No,No,No,One Year,No,Electronic Check,98.79,3719.79,0,4,No
CUST-00104,Male,49,No,No,Yes,33,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Bank Transfer (Automatic),88.43,2922.59,3,4,No
CUST-00105,Female,56,No,No,Yes,22,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card (Automatic),23.97,530.87,1,4,No
CUST-00106,Female,73,Yes,No,No,22,No,Fiber Optic,No,Yes,Yes,No,No,No,Two Year,Yes,Credit Card (Automatic),81.41,1853.4,2,4,Yes
CUST-00107,Female,48,No,No,Yes,4,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Bank Transfer (Automatic),93.68,368.76,1,4,No
CUST-00108,Female,43,No,Yes,No,13,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,98.83,1254.11,0,5,No
CUST-00109,Male,69,Yes,Yes,No,6,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Electronic Check,89.45,536.79,1,4,Yes
CUST-00110,Female,60,No,Yes,Yes,32,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-Month,No,Mailed Check,76.86,2469.89,0,3,No
CUST-00111,Male,40,No,Yes,No,9,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Automatic),69.5,628.39,0,5,Yes
CUST-00112,Female,45,No,Yes,No,56,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),104.94,5594.69,1,3,No
CUST-00113,Female,48,No,No,No,27,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Credit Card (Automatic),92.28,2622.37,1,5,No
CUST-00114,Male,51,No,Yes,No,12,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Mailed Check,75.7,967.32,1,4,Yes
CUST-00115,Female,23,No,No,No,50,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),36.37,1974.69,1,4,No
CUST-00116,Female,20,No,No,No,8,Yes,Fiber Optic,No,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,88.56,726.52,1,5,Yes
CUST-00117,Male,31,No,Yes,Yes,9,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-Month,No,Electronic Check,61.87,536.94,1,3,Yes
CUST-00118,Male,30,No,No,Yes,12,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Electronic Check,95.95,1173.23,1,5,No
CUST-00119,Male,35,No,No,No,51,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card (Automatic),113.74,5675.55,2,4,Yes
CUST-00120,Male,55,No,Yes,Yes,72,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Two Year,No,Credit Card (Automatic),104.8,7813.8,1,4,No
CUST-00121,Male,42,No,No,Yes,6,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card (Automatic),84.53,514.32,3,2,Yes
CUST-00122,Female,48,No,Yes,Yes,72,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card (Automatic),85.77,6032.15,0,5,No
CUST-00123,Female,25,No,Yes,No,39,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Two Year,Yes,Credit Card (Automatic),92.3,3676.5,1,5,No
CUST-00124,Male,38,No,No,No,18,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Transfer (Automatic),95.43,1804.45,0,5,Yes
CUST-00125,Female,54,No,No,No,37,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,27.33,965.72,0,4,No
CUST-00126,Female,55,No,Yes,No,51,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),18.0,893.12,0,5,No
CUST-00127,Male,33,No,No,No,13,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Electronic Check,69.74,935.64,3,3,No
CUST-00128,Female,48,No,Yes,No,52,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Two Year,No,Electronic Check,88.68,4511.45,1,4,No
CUST-00129,Female,80,Yes,Yes,No,25,No,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Mailed Check,69.32,1578.44,1,3,Yes
CUST-00130,Female,45,No,No,Yes,6,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),102.0,579.24,4,3,Yes
CUST-00131,Female,34,No,No,Yes,39,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Transfer (Automatic),99.19,4042.49,2,4,No
CUST-00132,Female,42,No,Yes,No,66,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Transfer (Automatic),84.29,5740.33,2,4,No
CUST-00133,Male,46,No,Yes,No,34,Yes,DSL,Yes,Yes,No,No,No,No,One Year,No,Bank Transfer (Automatic),76.57,2524.58,2,4,No
CUST-00134,Female,43,No,Yes,No,10,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Mailed Check,98.0,945.16,2,3,Yes
CUST-00135,Female,44,No,Yes,No,34,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,89.36,3117.88,1,4,Yes
CUST-00136,Male,22,No,Yes,No,30,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Yes,Electronic Check,63.1,1781.11,2,3,Yes
CUST-00137,Female,30,No,No,Yes,37,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Transfer (Automatic),84.54,3250.31,0,4,No
CUST-00138,Male,43,No,Yes,No,5,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Electronic Check,86.17,432.5,0,4,Yes
CUST-00139,Male,42,No,Yes,No,6,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card (Automatic),106.23,621.59,2,3,No
CUST-00140,Male,36,No,No,No,16,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Electronic Check,73.25,1202.47,1,4,Yes
CUST-00141,Female,42,No,Yes,Yes,45,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,84.96,3813.35,0,5,No
CUST-00142,Male,46,No,No,Yes,41,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,69.8,2788.43,1,4,No
CUST-00143,Male,59,No,No,No,49,No,Fiber Optic,Yes,No,Yes,No,No,No,Two Year,Yes,Electronic Check,83.44,4081.91,2,4,Yes
CUST-00144,Male,43,No,Yes,Yes,37,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One Year,No,Bank Transfer (Automatic),72.75,2820.89,0,4,No
CUST-00145,Female,51,No,Yes,Yes,43,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card (Automatic),104.74,4269.95,1,4,Yes
CUST-00146,Female,36,No,No,No,30,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Electronic Check,99.15,2815.3,2,5,Yes
CUST-00147,Male,54,No,Yes,No,23,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Credit Card (Automatic),75.24,1767.22,2,4,No
CUST-00148,Male,51,No,Yes,Yes,40,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,18.43,777.79,0,4,No
CUST-00149,Female,59,No,No,No,9,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,28.81,257.27,0,5,No
CUST-00150,Male,56,No,No,Yes,12,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,No,Electronic Check,77.27,982.36,0,4,No
CUST-00151,Female,54,No,Yes,No,8,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-Month,No,Mailed Check,64.88,507.37,2,4,No
CUST-00152,Male,43,No,No,No,29,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,90.43,2500.82,1,4,Yes
CUST-00153,Female,49,No,Yes,No,9,Yes,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer (Automatic),40.29,375.93,0,3,No
CUST-00154,Male,62,No,No,No,2,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card (Automatic),95.76,185.16,1,4,No
CUST-00155,Male,35,No,No,No,7,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,93.15,632.05,2,5,No
CUST-00156,Female,35,No,Yes,No,66,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Credit Card (Automatic),80.05,5406.18,2,3,Yes
CUST-00157,Male,48,No,Yes,No,29,No,None,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Electronic Check,27.15,767.72,1,4,No
